# PREREG_SHA f55d1dbbe1a609f69301ce8f537282a0372880b51fdec6b51d0f588b9fd96d30
epoch	phase	loss	v2	gviol	clampbind	w1	w2	w3	w4	w5	w6	w7	w8	w9	b	mcC	mcW	mcA
547	0	18000000	0	7	0	138861	-9205	0	-7932	615	195480	122952	5460	202501	-430983	987	233	926
548	1	132852945	21	11	0	135513	-9675	0	-8269	-1004	188782	122952	5460	196251	-439311	765	146	715
549	1	43001193	21	11	0	134337	-9878	0	-8269	-2135	186395	123002	5460	193957	-442794	478	14	441
550	2	63536910	0	11	0	135323	-9706	0	-8175	-1644	189199	122752	5490	196223	-441728	753	146	704
551	2	54000000	0	11	0	136062	-9564	0	-8081	-1368	191507	122502	5520	198012	-441158	764	146	714
552	0	134338884	0	7	0	140226	-9548	0	-8049	591	196803	124364	5520	203764	-435410	897	233	843
553	0	18000000	0	7	0	140604	-9548	0	-8049	668	197703	124364	5520	204502	-435736	987	233	926
554	1	132899561	21	11	0	137250	-10019	0	-8390	-952	190995	124364	5520	198243	-444074	766	146	715
555	1	45403203	21	11	0	136026	-10228	0	-8390	-2121	188525	124397	5520	195870	-447640	478	14	441
556	2	63622676	0	11	0	137015	-10056	0	-8296	-1627	191335	124147	5550	198141	-446568	753	146	704
557	2	54000000	0	11	0	137754	-9914	0	-8202	-1351	193643	123897	5580	199930	-445998	764	146	714
558	0	136327767	0	7	0	141967	-9898	0	-8170	653	199022	125771	5580	205761	-440156	901	233	847
559	0	18000000	0	7	0	142345	-9898	0	-8170	730	199922	125771	5580	206499	-440482	987	233	926
560	1	132960205	21	11	0	138986	-10369	0	-8514	-891	193204	125771	5580	200232	-448830	766	146	716
561	1	45476074	21	11	0	137720	-10586	0	-8514	-2108	190655	125788	5580	197775	-452477	478	14	441
562	2	63713706	0	11	0	138711	-10414	0	-8420	-1612	193470	125538	5610	200052	-451400	753	146	704
563	2	54000000	0	11	0	139450	-10272	0	-8326	-1336	195778	125288	5640	201841	-450830	764	146	714
564	0	138334896	0	7	0	143715	-10256	0	-8294	704	201241	127174	5640	207745	-444893	904	233	850
565	0	18000000	0	7	0	144093	-10256	0	-8294	781	202141	127174	5640	208483	-445219	987	233	926
566	1	133072404	21	11	0	140729	-10728	0	-8641	-841	195412	127174	5640	202206	-453578	766	146	716
567	1	46091484	22	9	0	139419	-10951	0	-8641	-2089	192786	127174	5640	199670	-457310	479	14	441
568	2	63810554	0	11	0	140413	-10779	0	-8547	-1592	195607	126924	5670	201953	-456227	754	146	705
569	2	54000000	0	11	0	141152	-10637	0	-8453	-1316	197915	126674	5700	203742	-455657	764	146	714
570	0	140158859	0	7	0	145469	-10621	0	-8421	763	203459	128572	5700	209720	-449628	907	233	853
571	0	18000000	0	7	0	145847	-10621	0	-8421	840	204359	128572	5700	210458	-449954	987	233	926
572	1	133181780	21	11	0	142478	-11093	0	-8771	-783	197621	128572	5700	204173	-458322	766	146	716
573	1	48005555	22	8	0	141133	-11319	0	-8771	-2046	194925	128572	5700	201566	-462149	479	14	441
574	2	63877761	0	11	0	142129	-11147	0	-8677	-1547	197749	128322	5730	203851	-461063	754	146	705
575	2	54000000	0	11	0	142868	-11005	0	-8583	-1271	200057	128072	5760	205640	-460493	764	146	714
576	0	141837255	0	7	0	147230	-10989	0	-8551	842	205684	129978	5760	211692	-454375	912	233	857
577	0	18000000	0	7	0	147608	-10989	0	-8551	919	206584	129978	5760	212430	-454701	987	233	926
578	1	133306045	21	11	0	144235	-11461	0	-8903	-704	199837	129978	5760	206138	-463078	766	146	716
579	1	50741050	21	8	0	142854	-11691	0	-8903	-1987	197068	129978	5760	203466	-467008	479	14	441
580	2	63959066	0	11	0	143852	-11519	0	-8809	-1488	199896	129728	5790	205755	-465918	755	146	705
581	2	54000000	0	11	0	144591	-11377	0	-8715	-1212	202204	129478	5820	207544	-465348	765	146	715
582	0	143772402	0	7	0	149002	-11361	0	-8683	934	207913	131390	5820	213673	-459142	917	233	862
583	0	18000000	0	7	0	149380	-11361	0	-8683	1011	208813	131390	5820	214411	-459468	987	233	926
584	1	133444405	21	11	0	146003	-11834	0	-9038	-614	202058	131390	5820	208111	-467853	766	146	716
585	1	51523761	21	8	0	144587	-12070	0	-9038	-1930	199219	131390	5820	205370	-471882	479	14	441
586	2	64034808	0	11	0	145588	-11898	0	-8944	-1430	202051	131140	5850	207661	-470788	755	146	706
587	2	54000000	0	11	0	146327	-11756	0	-8850	-1154	204359	130890	5880	209450	-470218	765	146	715
588	0	145592728	0	7	0	150786	-11740	0	-8818	1032	210151	132809	5880	215651	-463923	923	233	867
589	0	18000000	0	7	0	151164	-11740	0	-8818	1109	211051	132809	5880	216389	-464249	987	233	926
590	1	133609536	21	11	0	147782	-12212	0	-9176	-516	204287	132809	5880	210083	-472643	766	146	716
591	1	52815214	22	9	0	146332	-12454	0	-9176	-1862	201379	132809	5880	207273	-476773	479	14	441
592	2	64119926	0	11	0	147335	-12282	0	-9082	-1361	204215	132559	5910	209568	-475675	755	146	706
593	2	54000000	0	11	0	148074	-12140	0	-8988	-1085	206523	132309	5940	211357	-475105	765	146	715
594	0	147390205	0	7	0	152577	-12124	0	-8956	1138	212398	134233	5940	217628	-468721	928	233	872
595	0	18000000	0	7	0	152955	-12124	0	-8956	1215	213298	134233	5940	218366	-469047	987	233	926
596	1	133749201	21	11	0	149570	-12596	0	-9316	-412	206528	134233	5940	212054	-477447	766	146	716
597	1	54356147	22	8	0	148083	-12841	0	-9316	-1775	203548	134233	5940	209175	-481677	479	14	442
598	2	64202169	0	11	0	149085	-12667	0	-9222	-1273	206385	133983	5970	211473	-480578	756	146	706
599	2	54000000	0	11	0	149824	-12525	0	-9128	-997	208693	133733	6000	213262	-480008	765	146	715
