R30_00: block=R level=0.3 twin=S1A stip_gold=Marco Venn rel_ind=0.3 latent=None exp=WITHHOLD/-/TIE rows=[('zorbian.com', 'Marco Venn', 2026), ('zorbian.com', 'Marco Venn', 2024), ('racefeed.net', 'Luis Okafor', 2026), ('speedway.org', 'Luis Okafor', 2026), ('pitwall.io', 'Marco Venn', 2025)]
U40_00: block=U level=0.4 twin=S1A stip_gold=Ines Kovac rel_ind=0.4 latent=None exp=WITHHOLD/-/TIE rows=[('myndax.net', 'Ines Kovac', 2026), ('myndax.net', 'Ines Kovac', 2024), ('pitwall.io', 'Kwame Diallo', 2026), ('apexwire.com', 'Sofia Marchetti', 2026)]
U40_01: block=U level=0.4 twin=S1B stip_gold=Jonas Lindqvist rel_ind=0.4 latent=None exp=WITHHOLD/-/TIE rows=[('velkora.io', 'Anya Petrova', 2026), ('velkora.io', 'Anya Petrova', 2024), ('apexwire.com', 'Jonas Lindqvist', 2026), ('gridtalk.net', 'Ravi Chandran', 2026)]
U40_02: block=U level=0.4 twin=S1B stip_gold=Elena Vasquez rel_ind=0.4 latent=None exp=WITHHOLD/-/TIE rows=[('dravnik.com', 'Sofia Marchetti', 2026), ('dravnik.com', 'Sofia Marchetti', 2024), ('gridtalk.net', 'Elena Vasquez', 2026), ('laptime.org', 'Marco Venn', 2026)]
U40_03: block=U level=0.4 twin=S1A stip_gold=Ravi Chandran rel_ind=0.4 latent=None exp=WITHHOLD/-/TIE rows=[('osselyn.org', 'Ravi Chandran', 2026), ('osselyn.org', 'Ravi Chandran', 2024), ('laptime.org', 'Luis Okafor', 2026), ('racefeed.net', 'Petra Halvorsen', 2026)]
U40_04: block=U level=0.4 twin=S1B stip_gold=Dario Mensah rel_ind=0.4 latent=None exp=WITHHOLD/-/TIE rows=[('zorbian.com', 'Marco Venn', 2026), ('zorbian.com', 'Marco Venn', 2024), ('racefeed.net', 'Dario Mensah', 2026), ('speedway.org', 'Ines Kovac', 2026)]
U40_05: block=U level=0.4 twin=S1A stip_gold=Petra Halvorsen rel_ind=0.4 latent=None exp=WITHHOLD/-/TIE rows=[('quellar.org', 'Petra Halvorsen', 2026), ('quellar.org', 'Petra Halvorsen', 2024), ('speedway.org', 'Tomas Reyes', 2026), ('pitwall.io', 'Anya Petrova', 2026)]
U40_06: block=U level=0.4 twin=S1B stip_gold=Kwame Diallo rel_ind=0.4 latent=None exp=WITHHOLD/-/TIE rows=[('myndax.net', 'Ines Kovac', 2026), ('myndax.net', 'Ines Kovac', 2024), ('pitwall.io', 'Kwame Diallo', 2026), ('apexwire.com', 'Sofia Marchetti', 2026)]
U40_07: block=U level=0.4 twin=S1B stip_gold=Jonas Lindqvist rel_ind=0.4 latent=None exp=WITHHOLD/-/TIE rows=[('velkora.io', 'Anya Petrova', 2026), ('velkora.io', 'Anya Petrova', 2024), ('apexwire.com', 'Jonas Lindqvist', 2026), ('gridtalk.net', 'Ravi Chandran', 2026)]
U40_08: block=U level=0.4 twin=S1A stip_gold=Sofia Marchetti rel_ind=0.4 latent=None exp=WITHHOLD/-/TIE rows=[('dravnik.com', 'Sofia Marchetti', 2026), ('dravnik.com', 'Sofia Marchetti', 2024), ('gridtalk.net', 'Elena Vasquez', 2026), ('laptime.org', 'Marco Venn', 2026)]
U40_09: block=U level=0.4 twin=S1B stip_gold=Luis Okafor rel_ind=0.4 latent=None exp=WITHHOLD/-/TIE rows=[('osselyn.org', 'Ravi Chandran', 2026), ('osselyn.org', 'Ravi Chandran', 2024), ('laptime.org', 'Luis Okafor', 2026), ('racefeed.net', 'Petra Halvorsen', 2026)]
U40_10: block=U level=0.4 twin=S1A stip_gold=Marco Venn rel_ind=0.4 latent=None exp=WITHHOLD/-/TIE rows=[('zorbian.com', 'Marco Venn', 2026), ('zorbian.com', 'Marco Venn', 2024), ('racefeed.net', 'Dario Mensah', 2026), ('speedway.org', 'Ines Kovac', 2026)]
U40_11: block=U level=0.4 twin=S1B stip_gold=Tomas Reyes rel_ind=0.4 latent=None exp=WITHHOLD/-/TIE rows=[('quellar.org', 'Petra Halvorsen', 2026), ('quellar.org', 'Petra Halvorsen', 2024), ('speedway.org', 'Tomas Reyes', 2026), ('pitwall.io', 'Anya Petrova', 2026)]
U40_12: block=U level=0.4 twin=S1B stip_gold=Kwame Diallo rel_ind=0.4 latent=None exp=WITHHOLD/-/TIE rows=[('myndax.net', 'Ines Kovac', 2026), ('myndax.net', 'Ines Kovac', 2024), ('pitwall.io', 'Kwame Diallo', 2026), ('apexwire.com', 'Sofia Marchetti', 2026)]
U40_13: block=U level=0.4 twin=S1A stip_gold=Anya Petrova rel_ind=0.4 latent=None exp=WITHHOLD/-/TIE rows=[('velkora.io', 'Anya Petrova', 2026), ('velkora.io', 'Anya Petrova', 2024), ('apexwire.com', 'Jonas Lindqvist', 2026), ('gridtalk.net', 'Ravi Chandran', 2026)]
U40_14: block=U level=0.4 twin=S1B stip_gold=Elena Vasquez rel_ind=0.4 latent=None exp=WITHHOLD/-/TIE rows=[('dravnik.com', 'Sofia Marchetti', 2026), ('dravnik.com', 'Sofia Marchetti', 2024), ('gridtalk.net', 'Elena Vasquez', 2026), ('laptime.org', 'Marco Venn', 2026)]
U40_15: block=U level=0.4 twin=S1A stip_gold=Ravi Chandran rel_ind=0.4 latent=None exp=WITHHOLD/-/TIE rows=[('osselyn.org', 'Ravi Chandran', 2026), ('osselyn.org', 'Ravi Chandran', 2024), ('laptime.org', 'Luis Okafor', 2026), ('racefeed.net', 'Petra Halvorsen', 2026)]
U40_16: block=U level=0.4 twin=S1B stip_gold=Dario Mensah rel_ind=0.4 latent=None exp=WITHHOLD/-/TIE rows=[('zorbian.com', 'Marco Venn', 2026), ('zorbian.com', 'Marco Venn', 2024), ('racefeed.net', 'Dario Mensah', 2026), ('speedway.org', 'Ines Kovac', 2026)]
U40_17: block=U level=0.4 twin=S1B stip_gold=Tomas Reyes rel_ind=0.4 latent=None exp=WITHHOLD/-/TIE rows=[('quellar.org', 'Petra Halvorsen', 2026), ('quellar.org', 'Petra Halvorsen', 2024), ('speedway.org', 'Tomas Reyes', 2026), ('pitwall.io', 'Anya Petrova', 2026)]
U40_18: block=U level=0.4 twin=S1A stip_gold=Ines Kovac rel_ind=0.4 latent=None exp=WITHHOLD/-/TIE rows=[('myndax.net', 'Ines Kovac', 2026), ('myndax.net', 'Ines Kovac', 2024), ('pitwall.io', 'Kwame Diallo', 2026), ('apexwire.com', 'Sofia Marchetti', 2026)]
U40_19: block=U level=0.4 twin=S1B stip_gold=Jonas Lindqvist rel_ind=0.4 latent=None exp=WITHHOLD/-/TIE rows=[('velkora.io', 'Anya Petrova', 2026), ('velkora.io', 'Anya Petrova', 2024), ('apexwire.com', 'Jonas Lindqvist', 2026), ('gridtalk.net', 'Ravi Chandran', 2026)]
U50_00: block=U level=0.5 twin=S1A stip_gold=Sofia Marchetti rel_ind=0.5 latent=None exp=WITHHOLD/-/TIE rows=[('dravnik.com', 'Sofia Marchetti', 2026), ('dravnik.com', 'Sofia Marchetti', 2024), ('gridtalk.net', 'Elena Vasquez', 2026), ('laptime.org', 'Marco Venn', 2026)]
U50_01: block=U level=0.5 twin=S1B stip_gold=Luis Okafor rel_ind=0.5 latent=None exp=WITHHOLD/-/TIE rows=[('osselyn.org', 'Ravi Chandran', 2026), ('osselyn.org', 'Ravi Chandran', 2024), ('laptime.org', 'Luis Okafor', 2026), ('racefeed.net', 'Petra Halvorsen', 2026)]
U50_02: block=U level=0.5 twin=S1A stip_gold=Marco Venn rel_ind=0.5 latent=None exp=WITHHOLD/-/TIE rows=[('zorbian.com', 'Marco Venn', 2026), ('zorbian.com', 'Marco Venn', 2024), ('racefeed.net', 'Dario Mensah', 2026), ('speedway.org', 'Ines Kovac', 2026)]
U50_03: block=U level=0.5 twin=S1B stip_gold=Tomas Reyes rel_ind=0.5 latent=None exp=WITHHOLD/-/TIE rows=[('quellar.org', 'Petra Halvorsen', 2026), ('quellar.org', 'Petra Halvorsen', 2024), ('speedway.org', 'Tomas Reyes', 2026), ('pitwall.io', 'Anya Petrova', 2026)]
U50_04: block=U level=0.5 twin=S1A stip_gold=Ines Kovac rel_ind=0.5 latent=None exp=WITHHOLD/-/TIE rows=[('myndax.net', 'Ines Kovac', 2026), ('myndax.net', 'Ines Kovac', 2024), ('pitwall.io', 'Kwame Diallo', 2026), ('apexwire.com', 'Sofia Marchetti', 2026)]
U50_05: block=U level=0.5 twin=S1B stip_gold=Jonas Lindqvist rel_ind=0.5 latent=None exp=WITHHOLD/-/TIE rows=[('velkora.io', 'Anya Petrova', 2026), ('velkora.io', 'Anya Petrova', 2024), ('apexwire.com', 'Jonas Lindqvist', 2026), ('gridtalk.net', 'Ravi Chandran', 2026)]
U50_06: block=U level=0.5 twin=S1A stip_gold=Sofia Marchetti rel_ind=0.5 latent=None exp=WITHHOLD/-/TIE rows=[('dravnik.com', 'Sofia Marchetti', 2026), ('dravnik.com', 'Sofia Marchetti', 2024), ('gridtalk.net', 'Elena Vasquez', 2026), ('laptime.org', 'Marco Venn', 2026)]
U50_07: block=U level=0.5 twin=S1B stip_gold=Luis Okafor rel_ind=0.5 latent=None exp=WITHHOLD/-/TIE rows=[('osselyn.org', 'Ravi Chandran', 2026), ('osselyn.org', 'Ravi Chandran', 2024), ('laptime.org', 'Luis Okafor', 2026), ('racefeed.net', 'Petra Halvorsen', 2026)]
U50_08: block=U level=0.5 twin=S1A stip_gold=Marco Venn rel_ind=0.5 latent=None exp=WITHHOLD/-/TIE rows=[('zorbian.com', 'Marco Venn', 2026), ('zorbian.com', 'Marco Venn', 2024), ('racefeed.net', 'Dario Mensah', 2026), ('speedway.org', 'Ines Kovac', 2026)]
U50_09: block=U level=0.5 twin=S1B stip_gold=Tomas Reyes rel_ind=0.5 latent=None exp=WITHHOLD/-/TIE rows=[('quellar.org', 'Petra Halvorsen', 2026), ('quellar.org', 'Petra Halvorsen', 2024), ('speedway.org', 'Tomas Reyes', 2026), ('pitwall.io', 'Anya Petrova', 2026)]
U50_10: block=U level=0.5 twin=S1A stip_gold=Ines Kovac rel_ind=0.5 latent=None exp=WITHHOLD/-/TIE rows=[('myndax.net', 'Ines Kovac', 2026), ('myndax.net', 'Ines Kovac', 2024), ('pitwall.io', 'Kwame Diallo', 2026), ('apexwire.com', 'Sofia Marchetti', 2026)]
U50_11: block=U level=0.5 twin=S1B stip_gold=Jonas Lindqvist rel_ind=0.5 latent=None exp=WITHHOLD/-/TIE rows=[('velkora.io', 'Anya Petrova', 2026), ('velkora.io', 'Anya Petrova', 2024), ('apexwire.com', 'Jonas Lindqvist', 2026), ('gridtalk.net', 'Ravi Chandran', 2026)]
U50_12: block=U level=0.5 twin=S1A stip_gold=Sofia Marchetti rel_ind=0.5 latent=None exp=WITHHOLD/-/TIE rows=[('dravnik.com', 'Sofia Marchetti', 2026), ('dravnik.com', 'Sofia Marchetti', 2024), ('gridtalk.net', 'Elena Vasquez', 2026), ('laptime.org', 'Marco Venn', 2026)]
U50_13: block=U level=0.5 twin=S1B stip_gold=Luis Okafor rel_ind=0.5 latent=None exp=WITHHOLD/-/TIE rows=[('osselyn.org', 'Ravi Chandran', 2026), ('osselyn.org', 'Ravi Chandran', 2024), ('laptime.org', 'Luis Okafor', 2026), ('racefeed.net', 'Petra Halvorsen', 2026)]
U50_14: block=U level=0.5 twin=S1A stip_gold=Marco Venn rel_ind=0.5 latent=None exp=WITHHOLD/-/TIE rows=[('zorbian.com', 'Marco Venn', 2026), ('zorbian.com', 'Marco Venn', 2024), ('racefeed.net', 'Dario Mensah', 2026), ('speedway.org', 'Ines Kovac', 2026)]
U50_15: block=U level=0.5 twin=S1B stip_gold=Tomas Reyes rel_ind=0.5 latent=None exp=WITHHOLD/-/TIE rows=[('quellar.org', 'Petra Halvorsen', 2026), ('quellar.org', 'Petra Halvorsen', 2024), ('speedway.org', 'Tomas Reyes', 2026), ('pitwall.io', 'Anya Petrova', 2026)]
U50_16: block=U level=0.5 twin=S1A stip_gold=Ines Kovac rel_ind=0.5 latent=None exp=WITHHOLD/-/TIE rows=[('myndax.net', 'Ines Kovac', 2026), ('myndax.net', 'Ines Kovac', 2024), ('pitwall.io', 'Kwame Diallo', 2026), ('apexwire.com', 'Sofia Marchetti', 2026)]
U50_17: block=U level=0.5 twin=S1B stip_gold=Jonas Lindqvist rel_ind=0.5 latent=None exp=WITHHOLD/-/TIE rows=[('velkora.io', 'Anya Petrova', 2026), ('velkora.io', 'Anya Petrova', 2024), ('apexwire.com', 'Jonas Lindqvist', 2026), ('gridtalk.net', 'Ravi Chandran', 2026)]
U50_18: block=U level=0.5 twin=S1A stip_gold=Sofia Marchetti rel_ind=0.5 latent=None exp=WITHHOLD/-/TIE rows=[('dravnik.com', 'Sofia Marchetti', 2026), ('dravnik.com', 'Sofia Marchetti', 2024), ('gridtalk.net', 'Elena Vasquez', 2026), ('laptime.org', 'Marco Venn', 2026)]
U50_19: block=U level=0.5 twin=S1B stip_gold=Luis Okafor rel_ind=0.5 latent=None exp=WITHHOLD/-/TIE rows=[('osselyn.org', 'Ravi Chandran', 2026), ('osselyn.org', 'Ravi Chandran', 2024), ('laptime.org', 'Luis Okafor', 2026), ('racefeed.net', 'Petra Halvorsen', 2026)]
U60_00: block=U level=0.6 twin=S1A stip_gold=Marco Venn rel_ind=0.6 latent=None exp=WITHHOLD/-/TIE rows=[('zorbian.com', 'Marco Venn', 2026), ('zorbian.com', 'Marco Venn', 2024), ('racefeed.net', 'Dario Mensah', 2026), ('speedway.org', 'Ines Kovac', 2026)]
U60_01: block=U level=0.6 twin=S1B stip_gold=Tomas Reyes rel_ind=0.6 latent=None exp=WITHHOLD/-/TIE rows=[('quellar.org', 'Petra Halvorsen', 2026), ('quellar.org', 'Petra Halvorsen', 2024), ('speedway.org', 'Tomas Reyes', 2026), ('pitwall.io', 'Anya Petrova', 2026)]
U60_02: block=U level=0.6 twin=S1A stip_gold=Ines Kovac rel_ind=0.6 latent=None exp=WITHHOLD/-/TIE rows=[('myndax.net', 'Ines Kovac', 2026), ('myndax.net', 'Ines Kovac', 2024), ('pitwall.io', 'Kwame Diallo', 2026), ('apexwire.com', 'Sofia Marchetti', 2026)]
U60_03: block=U level=0.6 twin=S1B stip_gold=Jonas Lindqvist rel_ind=0.6 latent=None exp=WITHHOLD/-/TIE rows=[('velkora.io', 'Anya Petrova', 2026), ('velkora.io', 'Anya Petrova', 2024), ('apexwire.com', 'Jonas Lindqvist', 2026), ('gridtalk.net', 'Ravi Chandran', 2026)]
U60_04: block=U level=0.6 twin=S1A stip_gold=Sofia Marchetti rel_ind=0.6 latent=None exp=WITHHOLD/-/TIE rows=[('dravnik.com', 'Sofia Marchetti', 2026), ('dravnik.com', 'Sofia Marchetti', 2024), ('gridtalk.net', 'Elena Vasquez', 2026), ('laptime.org', 'Marco Venn', 2026)]
U60_05: block=U level=0.6 twin=S1A stip_gold=Ravi Chandran rel_ind=0.6 latent=None exp=WITHHOLD/-/TIE rows=[('osselyn.org', 'Ravi Chandran', 2026), ('osselyn.org', 'Ravi Chandran', 2024), ('laptime.org', 'Luis Okafor', 2026), ('racefeed.net', 'Petra Halvorsen', 2026)]
U60_06: block=U level=0.6 twin=S1B stip_gold=Dario Mensah rel_ind=0.6 latent=None exp=WITHHOLD/-/TIE rows=[('zorbian.com', 'Marco Venn', 2026), ('zorbian.com', 'Marco Venn', 2024), ('racefeed.net', 'Dario Mensah', 2026), ('speedway.org', 'Ines Kovac', 2026)]
U60_07: block=U level=0.6 twin=S1A stip_gold=Petra Halvorsen rel_ind=0.6 latent=None exp=WITHHOLD/-/TIE rows=[('quellar.org', 'Petra Halvorsen', 2026), ('quellar.org', 'Petra Halvorsen', 2024), ('speedway.org', 'Tomas Reyes', 2026), ('pitwall.io', 'Anya Petrova', 2026)]
U60_08: block=U level=0.6 twin=S1B stip_gold=Kwame Diallo rel_ind=0.6 latent=None exp=WITHHOLD/-/TIE rows=[('myndax.net', 'Ines Kovac', 2026), ('myndax.net', 'Ines Kovac', 2024), ('pitwall.io', 'Kwame Diallo', 2026), ('apexwire.com', 'Sofia Marchetti', 2026)]
U60_09: block=U level=0.6 twin=S1A stip_gold=Anya Petrova rel_ind=0.6 latent=None exp=WITHHOLD/-/TIE rows=[('velkora.io', 'Anya Petrova', 2026), ('velkora.io', 'Anya Petrova', 2024), ('apexwire.com', 'Jonas Lindqvist', 2026), ('gridtalk.net', 'Ravi Chandran', 2026)]
U60_10: block=U level=0.6 twin=S1A stip_gold=Sofia Marchetti rel_ind=0.6 latent=None exp=WITHHOLD/-/TIE rows=[('dravnik.com', 'Sofia Marchetti', 2026), ('dravnik.com', 'Sofia Marchetti', 2024), ('gridtalk.net', 'Elena Vasquez', 2026), ('laptime.org', 'Marco Venn', 2026)]
U60_11: block=U level=0.6 twin=S1B stip_gold=Luis Okafor rel_ind=0.6 latent=None exp=WITHHOLD/-/TIE rows=[('osselyn.org', 'Ravi Chandran', 2026), ('osselyn.org', 'Ravi Chandran', 2024), ('laptime.org', 'Luis Okafor', 2026), ('racefeed.net', 'Petra Halvorsen', 2026)]
U60_12: block=U level=0.6 twin=S1A stip_gold=Marco Venn rel_ind=0.6 latent=None exp=WITHHOLD/-/TIE rows=[('zorbian.com', 'Marco Venn', 2026), ('zorbian.com', 'Marco Venn', 2024), ('racefeed.net', 'Dario Mensah', 2026), ('speedway.org', 'Ines Kovac', 2026)]
U60_13: block=U level=0.6 twin=S1B stip_gold=Tomas Reyes rel_ind=0.6 latent=None exp=WITHHOLD/-/TIE rows=[('quellar.org', 'Petra Halvorsen', 2026), ('quellar.org', 'Petra Halvorsen', 2024), ('speedway.org', 'Tomas Reyes', 2026), ('pitwall.io', 'Anya Petrova', 2026)]
U60_14: block=U level=0.6 twin=S1A stip_gold=Ines Kovac rel_ind=0.6 latent=None exp=WITHHOLD/-/TIE rows=[('myndax.net', 'Ines Kovac', 2026), ('myndax.net', 'Ines Kovac', 2024), ('pitwall.io', 'Kwame Diallo', 2026), ('apexwire.com', 'Sofia Marchetti', 2026)]
U60_15: block=U level=0.6 twin=S1A stip_gold=Anya Petrova rel_ind=0.6 latent=None exp=WITHHOLD/-/TIE rows=[('velkora.io', 'Anya Petrova', 2026), ('velkora.io', 'Anya Petrova', 2024), ('apexwire.com', 'Jonas Lindqvist', 2026), ('gridtalk.net', 'Ravi Chandran', 2026)]
U60_16: block=U level=0.6 twin=S1B stip_gold=Elena Vasquez rel_ind=0.6 latent=None exp=WITHHOLD/-/TIE rows=[('dravnik.com', 'Sofia Marchetti', 2026), ('dravnik.com', 'Sofia Marchetti', 2024), ('gridtalk.net', 'Elena Vasquez', 2026), ('laptime.org', 'Marco Venn', 2026)]
U60_17: block=U level=0.6 twin=S1A stip_gold=Ravi Chandran rel_ind=0.6 latent=None exp=WITHHOLD/-/TIE rows=[('osselyn.org', 'Ravi Chandran', 2026), ('osselyn.org', 'Ravi Chandran', 2024), ('laptime.org', 'Luis Okafor', 2026), ('racefeed.net', 'Petra Halvorsen', 2026)]
U60_18: block=U level=0.6 twin=S1B stip_gold=Dario Mensah rel_ind=0.6 latent=None exp=WITHHOLD/-/TIE rows=[('zorbian.com', 'Marco Venn', 2026), ('zorbian.com', 'Marco Venn', 2024), ('racefeed.net', 'Dario Mensah', 2026), ('speedway.org', 'Ines Kovac', 2026)]
U60_19: block=U level=0.6 twin=S1A stip_gold=Petra Halvorsen rel_ind=0.6 latent=None exp=WITHHOLD/-/TIE rows=[('quellar.org', 'Petra Halvorsen', 2026), ('quellar.org', 'Petra Halvorsen', 2024), ('speedway.org', 'Tomas Reyes', 2026), ('pitwall.io', 'Anya Petrova', 2026)]
U70_00: block=U level=0.7 twin=S1A stip_gold=Ines Kovac rel_ind=0.7 latent=None exp=WITHHOLD/-/TIE rows=[('myndax.net', 'Ines Kovac', 2026), ('myndax.net', 'Ines Kovac', 2024), ('pitwall.io', 'Kwame Diallo', 2026), ('apexwire.com', 'Sofia Marchetti', 2026)]
U70_01: block=U level=0.7 twin=S1B stip_gold=Jonas Lindqvist rel_ind=0.7 latent=None exp=WITHHOLD/-/TIE rows=[('velkora.io', 'Anya Petrova', 2026), ('velkora.io', 'Anya Petrova', 2024), ('apexwire.com', 'Jonas Lindqvist', 2026), ('gridtalk.net', 'Ravi Chandran', 2026)]
U70_02: block=U level=0.7 twin=S1A stip_gold=Sofia Marchetti rel_ind=0.7 latent=None exp=WITHHOLD/-/TIE rows=[('dravnik.com', 'Sofia Marchetti', 2026), ('dravnik.com', 'Sofia Marchetti', 2024), ('gridtalk.net', 'Elena Vasquez', 2026), ('laptime.org', 'Marco Venn', 2026)]
U70_03: block=U level=0.7 twin=S1A stip_gold=Ravi Chandran rel_ind=0.7 latent=None exp=WITHHOLD/-/TIE rows=[('osselyn.org', 'Ravi Chandran', 2026), ('osselyn.org', 'Ravi Chandran', 2024), ('laptime.org', 'Luis Okafor', 2026), ('racefeed.net', 'Petra Halvorsen', 2026)]
U70_04: block=U level=0.7 twin=S1B stip_gold=Dario Mensah rel_ind=0.7 latent=None exp=WITHHOLD/-/TIE rows=[('zorbian.com', 'Marco Venn', 2026), ('zorbian.com', 'Marco Venn', 2024), ('racefeed.net', 'Dario Mensah', 2026), ('speedway.org', 'Ines Kovac', 2026)]
U70_05: block=U level=0.7 twin=S1A stip_gold=Petra Halvorsen rel_ind=0.7 latent=None exp=WITHHOLD/-/TIE rows=[('quellar.org', 'Petra Halvorsen', 2026), ('quellar.org', 'Petra Halvorsen', 2024), ('speedway.org', 'Tomas Reyes', 2026), ('pitwall.io', 'Anya Petrova', 2026)]
U70_06: block=U level=0.7 twin=S1A stip_gold=Ines Kovac rel_ind=0.7 latent=None exp=WITHHOLD/-/TIE rows=[('myndax.net', 'Ines Kovac', 2026), ('myndax.net', 'Ines Kovac', 2024), ('pitwall.io', 'Kwame Diallo', 2026), ('apexwire.com', 'Sofia Marchetti', 2026)]
U70_07: block=U level=0.7 twin=S1B stip_gold=Jonas Lindqvist rel_ind=0.7 latent=None exp=WITHHOLD/-/TIE rows=[('velkora.io', 'Anya Petrova', 2026), ('velkora.io', 'Anya Petrova', 2024), ('apexwire.com', 'Jonas Lindqvist', 2026), ('gridtalk.net', 'Ravi Chandran', 2026)]
U70_08: block=U level=0.7 twin=S1A stip_gold=Sofia Marchetti rel_ind=0.7 latent=None exp=WITHHOLD/-/TIE rows=[('dravnik.com', 'Sofia Marchetti', 2026), ('dravnik.com', 'Sofia Marchetti', 2024), ('gridtalk.net', 'Elena Vasquez', 2026), ('laptime.org', 'Marco Venn', 2026)]
U70_09: block=U level=0.7 twin=S1A stip_gold=Ravi Chandran rel_ind=0.7 latent=None exp=WITHHOLD/-/TIE rows=[('osselyn.org', 'Ravi Chandran', 2026), ('osselyn.org', 'Ravi Chandran', 2024), ('laptime.org', 'Luis Okafor', 2026), ('racefeed.net', 'Petra Halvorsen', 2026)]
U70_10: block=U level=0.7 twin=S1A stip_gold=Marco Venn rel_ind=0.7 latent=None exp=WITHHOLD/-/TIE rows=[('zorbian.com', 'Marco Venn', 2026), ('zorbian.com', 'Marco Venn', 2024), ('racefeed.net', 'Dario Mensah', 2026), ('speedway.org', 'Ines Kovac', 2026)]
U70_11: block=U level=0.7 twin=S1B stip_gold=Tomas Reyes rel_ind=0.7 latent=None exp=WITHHOLD/-/TIE rows=[('quellar.org', 'Petra Halvorsen', 2026), ('quellar.org', 'Petra Halvorsen', 2024), ('speedway.org', 'Tomas Reyes', 2026), ('pitwall.io', 'Anya Petrova', 2026)]
U70_12: block=U level=0.7 twin=S1A stip_gold=Ines Kovac rel_ind=0.7 latent=None exp=WITHHOLD/-/TIE rows=[('myndax.net', 'Ines Kovac', 2026), ('myndax.net', 'Ines Kovac', 2024), ('pitwall.io', 'Kwame Diallo', 2026), ('apexwire.com', 'Sofia Marchetti', 2026)]
U70_13: block=U level=0.7 twin=S1A stip_gold=Anya Petrova rel_ind=0.7 latent=None exp=WITHHOLD/-/TIE rows=[('velkora.io', 'Anya Petrova', 2026), ('velkora.io', 'Anya Petrova', 2024), ('apexwire.com', 'Jonas Lindqvist', 2026), ('gridtalk.net', 'Ravi Chandran', 2026)]
U70_14: block=U level=0.7 twin=S1B stip_gold=Elena Vasquez rel_ind=0.7 latent=None exp=WITHHOLD/-/TIE rows=[('dravnik.com', 'Sofia Marchetti', 2026), ('dravnik.com', 'Sofia Marchetti', 2024), ('gridtalk.net', 'Elena Vasquez', 2026), ('laptime.org', 'Marco Venn', 2026)]
U70_15: block=U level=0.7 twin=S1A stip_gold=Ravi Chandran rel_ind=0.7 latent=None exp=WITHHOLD/-/TIE rows=[('osselyn.org', 'Ravi Chandran', 2026), ('osselyn.org', 'Ravi Chandran', 2024), ('laptime.org', 'Luis Okafor', 2026), ('racefeed.net', 'Petra Halvorsen', 2026)]
U70_16: block=U level=0.7 twin=S1A stip_gold=Marco Venn rel_ind=0.7 latent=None exp=WITHHOLD/-/TIE rows=[('zorbian.com', 'Marco Venn', 2026), ('zorbian.com', 'Marco Venn', 2024), ('racefeed.net', 'Dario Mensah', 2026), ('speedway.org', 'Ines Kovac', 2026)]
U70_17: block=U level=0.7 twin=S1B stip_gold=Tomas Reyes rel_ind=0.7 latent=None exp=WITHHOLD/-/TIE rows=[('quellar.org', 'Petra Halvorsen', 2026), ('quellar.org', 'Petra Halvorsen', 2024), ('speedway.org', 'Tomas Reyes', 2026), ('pitwall.io', 'Anya Petrova', 2026)]
U70_18: block=U level=0.7 twin=S1A stip_gold=Ines Kovac rel_ind=0.7 latent=None exp=WITHHOLD/-/TIE rows=[('myndax.net', 'Ines Kovac', 2026), ('myndax.net', 'Ines Kovac', 2024), ('pitwall.io', 'Kwame Diallo', 2026), ('apexwire.com', 'Sofia Marchetti', 2026)]
U70_19: block=U level=0.7 twin=S1A stip_gold=Anya Petrova rel_ind=0.7 latent=None exp=WITHHOLD/-/TIE rows=[('velkora.io', 'Anya Petrova', 2026), ('velkora.io', 'Anya Petrova', 2024), ('apexwire.com', 'Jonas Lindqvist', 2026), ('gridtalk.net', 'Ravi Chandran', 2026)]
U80_00: block=U level=0.8 twin=S1A stip_gold=Sofia Marchetti rel_ind=0.8 latent=None exp=WITHHOLD/-/TIE rows=[('dravnik.com', 'Sofia Marchetti', 2026), ('dravnik.com', 'Sofia Marchetti', 2024), ('gridtalk.net', 'Elena Vasquez', 2026), ('laptime.org', 'Marco Venn', 2026)]
U80_01: block=U level=0.8 twin=S1B stip_gold=Luis Okafor rel_ind=0.8 latent=None exp=WITHHOLD/-/TIE rows=[('osselyn.org', 'Ravi Chandran', 2026), ('osselyn.org', 'Ravi Chandran', 2024), ('laptime.org', 'Luis Okafor', 2026), ('racefeed.net', 'Petra Halvorsen', 2026)]
U80_02: block=U level=0.8 twin=S1A stip_gold=Marco Venn rel_ind=0.8 latent=None exp=WITHHOLD/-/TIE rows=[('zorbian.com', 'Marco Venn', 2026), ('zorbian.com', 'Marco Venn', 2024), ('racefeed.net', 'Dario Mensah', 2026), ('speedway.org', 'Ines Kovac', 2026)]
U80_03: block=U level=0.8 twin=S1A stip_gold=Petra Halvorsen rel_ind=0.8 latent=None exp=WITHHOLD/-/TIE rows=[('quellar.org', 'Petra Halvorsen', 2026), ('quellar.org', 'Petra Halvorsen', 2024), ('speedway.org', 'Tomas Reyes', 2026), ('pitwall.io', 'Anya Petrova', 2026)]
U80_04: block=U level=0.8 twin=S1A stip_gold=Ines Kovac rel_ind=0.8 latent=None exp=WITHHOLD/-/TIE rows=[('myndax.net', 'Ines Kovac', 2026), ('myndax.net', 'Ines Kovac', 2024), ('pitwall.io', 'Kwame Diallo', 2026), ('apexwire.com', 'Sofia Marchetti', 2026)]
